,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1748309,190766,HB0001,HB0001,General government appropriations.,"AN ACT to make appropriations for the biennium commencing July 1, 2010, and ending June 30, 2012; providing definitions; providing for appropriations and transfers of funds during that biennium and for the remainder of the current biennium as specified; providing for funding for carryover of certain funds beyond the biennium as specified; conforming specified statutory provisions during the term of the budget period as related to these appropriations; providing for employee positions as specified; providing for fees, conditions and other requirements relating to appropriations; providing for position and other budgetary limitations; providing for task forces and committees; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0001.json,4,2010-03-05,http://legisweb.state.wy.us/2010/Enroll/HB0001.pdf
1748310,190767,HB0002,HB0002,Wyoming health insurance pool-sunset.,AN ACT relating to health insurance; extending sunset date for Wyoming Health Insurance Pool Act; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0002.json,0,,http://legisweb.state.wy.us/2010/Enroll/HB0002.pdf
1748311,190768,HB0003,HB0003,Liquor license transfers.,AN ACT relating to alcohol; imposing and clarifying restrictions on liquor licensees failing to pay state sales tax; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0003.json,0,,http://legisweb.state.wy.us/2010/Introduced/HB0003.pdf
1748312,190769,HB0004,HB0004,Department of insurance-background checks.,"AN ACT relating to insurance; providing for background checks for insurance providers, adjusters and insurance consultants; making conforming amendments; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0004.json,0,,http://legisweb.state.wy.us/2010/Enroll/HB0004.pdf
1748313,190770,HB0005,HB0005,University revenue bond supplemental coverage.,AN ACT relating to the University of Wyoming; establishing a program to provide supplemental coverage for repayment of revenue bonds; providing for pledges of revenues and payment of bonds; specifying conditions and other provisions for operation of the program; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0005.json,0,,http://legisweb.state.wy.us/2010/Enroll/HB0005.pdf
1748314,190771,HB0006,HB0006,"Packaging, labeling and advertising of honey-repeal.","AN ACT relating to agriculture; repealing provisions regulating packaging, labeling and advertising of honey; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0006.json,0,,http://legisweb.state.wy.us/2010/Enroll/HB0006.pdf
1748315,190772,HB0007,HB0007,Wyoming Veterinary Medical Practice Act-2.,AN ACT relating to veterinarians; amending definitions relating to the practice of veterinary medicine; increasing board member salaries; providing exceptions for emergency veterinary care; requiring continuing education; increasing penalties; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0007.json,0,,http://legisweb.state.wy.us/2010/Enroll/HB0007.pdf
1748316,190773,HB0008,HB0008,Wyoming Traditional Food Act.,"AN ACT relating to food; creating the Wyoming Traditional Food Act; exempting certain activities involving the preparation, service, consumption and storage of food from licensure, permitting, certification, inspection, packaging and labeling; providing definitions; providing conforming amendments; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0008.json,0,,http://legisweb.state.wy.us/2010/Introduced/HB0008.pdf
1748317,190774,HB0009,HB0009,Illegal stocking of fish.,AN ACT relating to game and fish; providing for civil penalties for illegal stocking of fish; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0009.json,0,,http://legisweb.state.wy.us/2010/Introduced/HB0009.pdf
1748318,190775,HB0010,HB0010,Electrical safety-low voltage licensing.,"AN ACT relating to electrical safety; repealing waiver of licensing requirement for installation of low voltage cable services; providing waiver of master or journeyman licensing requirement for installation, repair or maintenance of certain lawn sprinkler control systems by persons who obtain a limited electrical contractor's license; providing for rulemaking to establish certain minimum standards; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0010.json,2,2010-02-12,http://legisweb.state.wy.us/2010/Engross/HB0010.pdf
1748319,190776,HB0011,HB0011,Cancer Control Act amendment.,AN ACT relating to the Wyoming Cancer Control Act; authorizing follow-up colorectal cancer screening tests when medically indicated; clarifying eligibility language; providing an appropriation; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0011.json,2,2010-02-22,http://legisweb.state.wy.us/2010/Engross/HB0011.pdf
1748320,190777,HB0012,HB0012,Juvenile detention facilities-admissions criteria.,AN ACT relating to juvenile detention; requiring a risk assessment for alleged delinquent minors as specified; requiring sheriffs to approve juvenile detention risk assessment instruments; providing definitions; requiring a report; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0012.json,4,2010-03-04,http://legisweb.state.wy.us/2010/Enroll/HB0012.pdf
1748321,190778,HB0013,HB0013,Underage drinking.,AN ACT relating to alcohol; creating an offense for persons under age twenty-one (21) years who attempt or gain admittance to liquor dispensing rooms or drive-in liquor areas as specified; expanding offenses for persons under the age of twenty-one (21) years who possess or consume alcohol; providing exceptions; providing penalties; providing for prima facie evidence; providing a definition; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0013.json,4,2010-03-03,http://legisweb.state.wy.us/2010/Enroll/HB0013.pdf
1748322,190779,HB0014,HB0014,ATM transaction fees.,AN ACT relating to banking; setting remote electronic terminal fees; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0014.json,0,,http://legisweb.state.wy.us/2010/Introduced/HB0014.pdf
1748323,190780,HB0015,HB0015,Electrical safety and fire prevention-revisions.,"AN ACT relating to electrical safety and fire prevention; providing authority for the chief electrical inspector to investigate electrocutions; clarifying duties of the department of electrical safety and fire prevention, the council on fire prevention and electrical safety in buildings and the electrical board; transferring rulemaking authority to the department of electrical safety and fire prevention; providing definitions; providing for amendment of plan reviews; providing for phased applications for plan reviews; amending projects requiring plan reviews; providing for suspension or restriction of licenses for failure to pay child support; providing for supremacy of the National Electrical Code; amending certain fees; specifying qualifications for local inspectors; providing for reversion of enforcement authority; modifying appeals process from local inspection authorities to the department; providing for reciprocal licenses; amending license fee revenue allocations; providing waiver of master or journeyman licensing requirement for installation, repair or maintenance of certain lawn sprinkler systems by persons who obtain a limited electrical contractor's license; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0015.json,4,2010-03-09,http://legisweb.state.wy.us/2010/Enroll/HB0015.pdf
1748324,190781,HB0016,HB0016,Private school licensing-exemption.,AN ACT relating to private school licensing; providing an exemption from private school licensing requirements as specified; providing a definition; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0016.json,4,2010-03-03,http://legisweb.state.wy.us/2010/Enroll/HB0016.pdf
1748325,190782,HB0017,HB0017,Carbon sequestration-financial assurances and regulation.,AN ACT relating to environmental quality; establishing an account; funding the account; requiring fees by specified permit applicants; regulating the expenditure of funds; requiring rulemaking; providing for the state's immunity; requiring bonding or other financial assurances; providing penalties; providing for the release of financial assurances; requiring land owner notice of geological sequestration sites; repealing obsolete provisions; providing an appropriation; authorizing the filling and reclassification of a vacant position; and providing for effective dates.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0017.json,4,2010-03-05,http://legisweb.state.wy.us/2010/Enroll/HB0017.pdf
1748326,190783,HB0018,HB0018,Aquatic invasive species-2.,AN ACT relating to game and fish and the department of state parks and cultural resources; providing for control of aquatic invasive species; providing for inspection of conveyances; providing for decontamination orders; providing for impoundment and quarantine; providing for rules; providing for inspection fees; providing civil and criminal penalties; authorizing the filling of a vacant position; providing an appropriation; providing a continuous appropriation; requiring reports; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0018.json,4,2010-03-10,http://legisweb.state.wy.us/2010/Enroll/HB0018.pdf
1748327,190784,HB0019,HB0019,Mandatory savings accounts for inmates.,AN ACT relating to department of corrections inmates; requiring savings accounts for inmates in the custody of the department of corrections as specified; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0019.json,4,2010-03-05,http://legisweb.state.wy.us/2010/Enroll/HB0019.pdf
1748328,190785,HB0020,HB0020,Criminal street gangs.,AN ACT relating to crimes and offenses; creating the crime of intimidation in furtherance of the interests of a criminal street gang; providing definitions; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0020.json,4,2010-03-05,http://legisweb.state.wy.us/2010/Enroll/HB0020.pdf
1748329,190786,HB0021,HB0021,Minimum wage.,AN ACT relating to minimum wage; increasing the minimum wage for all employees; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0021.json,0,,http://legisweb.state.wy.us/2010/Introduced/HB0021.pdf
1748330,190787,HB0022,HB0022,Streamlined sales/use tax-amendments.,AN ACT relating to taxation and revenue; providing amendments to the sales and use tax statutes for telecommunications services as specified; repealing the multiple point of use exemption provision; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0022.json,4,2010-03-04,http://legisweb.state.wy.us/2010/Enroll/HB0022.pdf
1748331,190788,HB0023,HB0023,Business entities-reinstatement fees.,AN ACT relating to business entities; modifying fees required upon reinstatement following administrative dissolution or forfeiture; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0023.json,4,2010-03-08,http://legisweb.state.wy.us/2010/Enroll/HB0023.pdf
1748332,190789,HB0024,HB0024,Insurance requirements for newly purchased vehicles.,AN ACT relating to motor vehicle registration; specifying which vehicles must be registered; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0024.json,4,2010-03-04,http://legisweb.state.wy.us/2010/Enroll/HB0024.pdf
1748333,190790,HB0025,HB0025,Child care development fund.,AN ACT relating to public assistance and social services; providing a schedule of eligibility and copayments under the child care and development fund; providing for grants to child care facilities under the program as specified; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0025.json,4,2010-03-04,http://legisweb.state.wy.us/2010/Enroll/HB0025.pdf
1748334,190791,HB0026,HB0026,Medical review panel.,AN ACT relating to the administration of government; amending the time for a claimant to file an expert's statement; specifying the admissibility in court of proceedings filed with and decisions by the medical review panel; requiring that litigation results be reported to the panel; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0026.json,4,2010-03-09,http://legisweb.state.wy.us/2010/Enroll/HB0026.pdf
1748335,190792,HB0027,HB0027,Armed forces license plate fees and distribution.,AN ACT relating to special license plates; modifying fees for eligibility statements for armed forces special license plates; modifying the distribution of fees; specifying fees; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0027.json,4,2010-03-05,http://legisweb.state.wy.us/2010/Enroll/HB0027.pdf
1748336,190793,HB0028,HB0028,Wyoming Firearms Freedom Act.,"AN ACT relating to Wyoming Firearms Freedom Act, establishing a Wyoming Firearms Freedom Act; providing definitions; providing that specified firearms that are manufactured, sold, purchased, possessed and used exclusively within Wyoming shall be exempt from federal regulation, including registration requirements; providing exceptions; providing legislative findings and declaration of authority; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0028.json,6,2010-03-05,http://legisweb.state.wy.us/2010/Introduced/HB0028.pdf
1748337,190794,HB0029,HB0029,Taxation of specified digital products.,AN ACT relating to excise tax; imposing the sales and use tax on specified digital products as specified; providing exceptions; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0029.json,4,2010-03-08,http://legisweb.state.wy.us/2010/Enroll/HB0029.pdf
1748338,190795,HB0030,HB0030,Transportation department authority.,AN ACT relating to the department of transportation; expanding authority relating to acquiring property for rights-of-way for structures to maintain safe roadways; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0030.json,0,,http://legisweb.state.wy.us/2010/Introduced/HB0030.pdf
1748339,190796,HB0031,HB0031,Property tax appeals-county process.,AN ACT relating to taxation and revenue; providing for a board of review for property tax appeals as specified; specifying membership and procedures; amending related provision; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0031.json,1,2010-02-09,http://legisweb.state.wy.us/2010/Introduced/HB0031.pdf
1748340,190797,HB0032,HB0032,Board of nursing-continuing jurisdiction.,"AN ACT relating to professions and occupations; providing that the powers of the board of nursing include the power to issue subpoenas for testimony or evidence; providing that the board has continuing jurisdiction over license, certificate and permit holders as specified; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0032.json,4,2010-03-04,http://legisweb.state.wy.us/2010/Enroll/HB0032.pdf
1748341,190798,HB0033,HB0033,Property tax-levy date.,AN ACT relating to taxation and revenue; providing a date for the levying of property tax mill levies by the county commissioners as specified; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0033.json,2,2010-02-22,http://legisweb.state.wy.us/2010/Introduced/HB0033.pdf
1748342,190799,HB0034,HB0034,Referendum on adopted ordinance-petitions.,AN ACT relating to municipal elections; extending deadline for collection of signatures to require a referendum vote on municipal ordinances; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0034.json,4,2010-03-05,http://legisweb.state.wy.us/2010/Enroll/HB0034.pdf
1748343,190800,HB0035,HB0035,Lobbying restrictions.,AN ACT relating to lobbying; restricting lobbying by the five statewide elected officials and state legislators for two years after leaving office; providing penalties; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0035.json,0,,http://legisweb.state.wy.us/2010/Introduced/HB0035.pdf
1748344,190801,HB0036,HB0036,Notaries.,"AN ACT relating to notaries, notarial officers and notarial acts; amending the Wyoming Uniform Law on Notarial Acts; amending and repealing laws on notaries public; adopting provisions of the Model Notary Act; amending notary related statutes; specifying a means to satisfy acknowledgements; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0036.json,2,2010-02-16,http://legisweb.state.wy.us/2010/Engross/HB0036.pdf
1748345,190802,HB0037,HB0037,Mandatory judicial retirement-2.,AN ACT relating to judicial retirement; repealing mandatory retirement age; making the act contingent upon passage of a constitutional amendment as specified; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0037.json,2,2010-02-16,http://legisweb.state.wy.us/2010/Engross/HB0037.pdf
1748346,190803,HB0038,HB0038,Driving under the influence amendments.,AN ACT relating to driving under the influence; expanding the definition of controlled substances and otherwise amending and creating definitions; amending the time for acceptable results from tests of blood alcohol concentration; creating a crime for failure to submit or complete a chemical test as specified; creating a crime of aggravated driving under the influence; amending penalties; repealing a provision relating to the reduction or dismissal of charges; repealing evidentiary presumptions relating to blood alcohol concentration; clarifying factors relating to penalties for subsequent convictions; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0038.json,1,2010-02-09,http://legisweb.state.wy.us/2010/Introduced/HB0038.pdf
1748347,190804,HB0039,HB0039,"Insurance benefits-usual, customary and reasonable.","AN ACT relating to insurance; modifying provisions for review of claims denied upon application of usual, customary and reasonable standard; prohibiting denial of payment for medical charges as specified; specifying application; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0039.json,2,2010-02-23,http://legisweb.state.wy.us/2010/Engross/HB0039.pdf
1748348,190806,HB0040,HB0040,Tax increment financing.,AN ACT relating to municipalities; providing for tax increment financing for municipal public improvements; providing definitions; providing for bonding; providing for apportionment of property taxes within a specified area and excise taxes to finance public improvements; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0040.json,1,2010-02-09,http://legisweb.state.wy.us/2010/Introduced/HB0040.pdf
1748349,190807,HB0041,HB0041,School finance-distance education.,AN ACT relating to school finance; excluding specified district revenues from local resource computations used in computing foundation program amounts; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0041.json,4,2010-03-04,http://legisweb.state.wy.us/2010/Enroll/HB0041.pdf
1748350,190808,HB0042,HB0042,Collection agencies.,"AN ACT relating to collection agencies; providing for consumer protection in collection transactions; transferring the collection agency program from the collection agency board to the Wyoming department of audit, banking division as specified; modifying requirements of the program; providing for reimbursement; terminating the collection agency board; transferring funds; and providing for an effective date.",WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0042.json,0,,http://legisweb.state.wy.us/2010/Introduced/HB0042.pdf
1748351,190809,HB0043,HB0043,Child support-adjustments.,AN ACT relating to child support orders; limiting adjustments to child support orders due to changed circumstances; and providing for an effective date.,WY,2010 Budget Session,bill_data\WY\2010-2010_Budget_Session\bill\HB0043.json,6,2010-03-05,http://legisweb.state.wy.us/2010/Introduced/HB0043.pdf
