,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1318048,182391,HB1001,HB1001,Allow municipalities and counties to issue certain special alcoholic beverage licenses and to repeal certain special alcoholic beverage licenses.,Allow municipalities and counties to issue certain special alcoholic beverage licenses and to repeal certain special alcoholic beverage licenses.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1001.json,4,2010-03-12,http://legis.state.sd.us/sessions/2010/Bills/HB1001ENR.pdf
1318049,182392,HB1002,HB1002,"Revise certain provisions regarding the days and hours that alcoholic beverages may be sold on a licensed premise and who may sell, serve, or dispense alcoholic beverages on a licensed premise and to revise certain provisions concerning the power of municipalities and counties to regulate the sale and use of alcoholic beverages.","Revise certain provisions regarding the days and hours that alcoholic beverages may be sold on a licensed premise and who may sell, serve, or dispense alcoholic beverages on a licensed premise and to revise certain provisions concerning the power of municipalities and counties to regulate the sale and use of alcoholic beverages.",SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1002.json,4,2010-03-12,http://legis.state.sd.us/sessions/2010/Bills/HB1002ENR.pdf
1318050,182393,HB1003,HB1003,Reduce the time period for revising fees for full-service restaurant on-sale licenses.,Reduce the time period for revising fees for full-service restaurant on-sale licenses.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1003.json,1,2010-01-12,http://legis.state.sd.us/sessions/2010/Bills/HB1003P.pdf
1318051,182394,HB1004,HB1004,Extend dram shop protection to certain alcoholic beverage licensees.,Extend dram shop protection to certain alcoholic beverage licensees.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1004.json,1,2010-01-12,http://legis.state.sd.us/sessions/2010/Bills/HB1004P.pdf
1318052,182395,HB1005,HB1005,Make form and style revisions to certain statutes related to the Bureau of Personnel.,Make form and style revisions to certain statutes related to the Bureau of Personnel.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1005.json,4,2010-02-25,http://legis.state.sd.us/sessions/2010/Bills/HB1005ENR.pdf
1318053,182396,HB1006,HB1006,"Repeal, update, and make form and style revisions to certain statutes related to the Department of Transportation.","Repeal, update, and make form and style revisions to certain statutes related to the Department of Transportation.",SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1006.json,4,2010-02-25,http://legis.state.sd.us/sessions/2010/Bills/HB1006ENR.pdf
1318054,182397,HB1007,HB1007,"Repeal, update, and make form and style revisions to certain statutes related to the Aeronautics Commission.","Repeal, update, and make form and style revisions to certain statutes related to the Aeronautics Commission.",SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1007.json,4,2010-02-18,http://legis.state.sd.us/sessions/2010/Bills/HB1007ENR.pdf
1318055,182398,HB1008,HB1008,Codify legislation enacted in 2009.,Codify legislation enacted in 2009.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1008.json,4,2010-03-04,http://legis.state.sd.us/sessions/2010/Bills/HB1008ENR.pdf
1318056,182399,HB1009,HB1009,Revise certain provisions regarding the documentation of data used to make adjustments for factors that affect the capacity of the land to produce agricultural products during the assessment process.,Revise certain provisions regarding the documentation of data used to make adjustments for factors that affect the capacity of the land to produce agricultural products during the assessment process.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1009.json,1,2010-01-12,http://legis.state.sd.us/sessions/2010/Bills/HB1009P.pdf
1318057,182400,HB1010,HB1010,Revise the requirements for the compilation and printing of the legislative manual referred to as the blue book.,Revise the requirements for the compilation and printing of the legislative manual referred to as the blue book.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1010.json,4,2010-03-01,http://legis.state.sd.us/sessions/2010/Bills/HB1010ENR.pdf
1318058,182401,HB1011,HB1011,Revise certain provisions related to high-performance green building standards.,Revise certain provisions related to high-performance green building standards.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1011.json,4,2010-03-08,http://legis.state.sd.us/sessions/2010/Bills/HB1011ENR.pdf
1318059,182402,HB1012,HB1012,Revise certain provisions regarding the appointment of members to the Capitol Complex Restoration and Beautification Commission.,Revise certain provisions regarding the appointment of members to the Capitol Complex Restoration and Beautification Commission.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1012.json,1,2010-01-12,http://legis.state.sd.us/sessions/2010/Bills/HB1012P.pdf
1318060,182403,HB1013,HB1013,Authorize the Department of Environment and Natural Resources to accept certain documents submitted with electronic signatures.,Authorize the Department of Environment and Natural Resources to accept certain documents submitted with electronic signatures.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1013.json,4,2010-02-11,http://legis.state.sd.us/sessions/2010/Bills/HB1013ENR.pdf
1318061,182404,HB1014,HB1014,"Define trophy and nontrophy antelope, mule deer, white-tailed deer, and elk, and establish civil damages for the unlawful taking of trophy animals.","Define trophy and nontrophy antelope, mule deer, white-tailed deer, and elk, and establish civil damages for the unlawful taking of trophy animals.",SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1014.json,4,2010-03-09,http://legis.state.sd.us/sessions/2010/Bills/HB1014ENR.pdf
1318062,182405,HB1015,HB1015,Repeal the imposition of the five dollar surcharge on mentored youth big game hunting licenses.,Repeal the imposition of the five dollar surcharge on mentored youth big game hunting licenses.,SD,2010 Regular Session,bill_data\SD\2010-2010_Regular_Session\bill\HB1015.json,4,2010-02-17,http://legis.state.sd.us/sessions/2010/Bills/HB1015ENR.pdf
